vehicle_id,source_dbc,bus,id_hex,id_dec,name,dlc,sender,signal_count,cluster_candidate_class,knowledge_level
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x255,597,ROUGH_WHEEL_SPEED,8,VSA,8,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x33d,829,LKAS_HUD,5,ADAS,19,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x37c,892,CRUISE_PARAMS,8,PCM,3,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x156,342,STEERING_SENSORS,6,EPS,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x18f,399,STEER_STATUS,6,EPS,6,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x191,401,GEARBOX,8,PCM,4,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x194,404,STEERING_CONTROL,4,EON,6,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x1a6,422,SCM_BUTTONS,8,SCM,6,BODY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.crv.gen5.us.touring_2016,honda_crv_touring_2016_can_generated.dbc,vehicle_can,0x294,660,SCM_FEEDBACK,8,SCM,5,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x200,512,GAS_COMMAND,6,EON,5,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x201,513,GAS_SENSOR,6,INTERCEPTOR,5,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x130,304,GAS_PEDAL_2,8,PCM,5,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x13c,316,GAS_PEDAL,8,PCM,3,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x158,344,ENGINE_DATA,8,PCM,6,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x17c,380,POWERTRAIN_DATA,8,PCM,11,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x1a4,420,VSA_STATUS,8,VSA,8,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x1ab,427,STEER_MOTOR_TORQUE,3,EPS,5,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x1d0,464,WHEEL_SPEEDS,8,VSA,5,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x1ea,490,VEHICLE_DYNAMICS,8,VSA,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x305,773,SEATBELT_STATUS,7,BDY,9,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x309,777,CAR_SPEED,8,PCM,8,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x30c,780,ACC_HUD,8,ADAS,25,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x324,804,CRUISE,8,PCM,8,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x374,884,STALK_STATUS,8,XXX,8,BODY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x37b,891,STALK_STATUS_2,8,XXX,6,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x405,1029,DOORS_STATUS,8,BDY,7,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x91,145,KINEMATICS,8,XXX,3,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x94,148,KINEMATICS_ALT,8,XXX,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x1b0,432,STANDSTILL,7,VSA,6,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x1e7,487,BRAKE_PRESSURE,4,VSA,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x1fa,506,BRAKE_COMMAND,8,ADAS,21,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x255,597,ROUGH_WHEEL_SPEED,8,VSA,8,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x33d,829,LKAS_HUD,5,ADAS,19,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x37c,892,CRUISE_PARAMS,8,PCM,3,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x156,342,STEERING_SENSORS,6,EPS,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0xe4,228,STEERING_CONTROL,5,ADAS,6,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x18f,399,STEER_STATUS,7,EPS,7,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x191,401,GEARBOX,8,PCM,4,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x1a6,422,SCM_BUTTONS,8,SCM,7,BODY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x294,660,SCM_FEEDBACK,8,SCM,5,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.ex_2018,honda_fit_ex_2018_can_generated.dbc,vehicle_can,0x35e,862,HIGHBEAM_CONTROL,8,ADAS,6,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x200,512,GAS_COMMAND,6,EON,5,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x201,513,GAS_SENSOR,6,INTERCEPTOR,5,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x130,304,GAS_PEDAL_2,8,PCM,5,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x13c,316,GAS_PEDAL,8,PCM,3,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x158,344,ENGINE_DATA,8,PCM,6,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x17c,380,POWERTRAIN_DATA,8,PCM,11,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1a4,420,VSA_STATUS,8,VSA,8,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1ab,427,STEER_MOTOR_TORQUE,3,EPS,5,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1d0,464,WHEEL_SPEEDS,8,VSA,5,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1ea,490,VEHICLE_DYNAMICS,8,VSA,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x305,773,SEATBELT_STATUS,7,BDY,9,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x309,777,CAR_SPEED,8,PCM,8,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x30c,780,ACC_HUD,8,ADAS,25,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x324,804,CRUISE,8,PCM,8,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x374,884,STALK_STATUS,8,XXX,8,BODY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x37b,891,STALK_STATUS_2,8,XXX,6,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x405,1029,DOORS_STATUS,8,BDY,7,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x91,145,KINEMATICS,8,XXX,3,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x94,148,KINEMATICS_ALT,8,XXX,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1b0,432,STANDSTILL,7,VSA,6,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1e7,487,BRAKE_PRESSURE,4,VSA,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1fa,506,BRAKE_COMMAND,8,ADAS,21,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x255,597,ROUGH_WHEEL_SPEED,8,VSA,8,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x33d,829,LKAS_HUD,5,ADAS,19,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x37c,892,CRUISE_PARAMS,8,PCM,3,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0xe4,228,STEERING_CONTROL,5,ADAS,6,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x156,342,STEERING_SENSORS,6,EPS,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x18f,399,STEER_STATUS,7,EPS,7,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1a3,419,GEARBOX,8,PCM,4,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x1a6,422,SCM_BUTTONS,8,SCM,6,BODY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x221,545,ECON_STATUS,5,XXX,3,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x294,660,SCM_FEEDBACK,8,SCM,5,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x35e,862,HIGHBEAM_CONTROL,8,ADAS,6,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.fit.gen3.us.hybrid_2018,honda_fit_hybrid_2018_can_generated.dbc,vehicle_can,0x39f,927,RADAR_HUD,8,ADAS,11,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x130,304,GAS_PEDAL_2,8,PCM,5,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x13c,316,GAS_PEDAL,8,PCM,3,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x158,344,ENGINE_DATA,8,PCM,6,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x17c,380,POWERTRAIN_DATA,8,PCM,11,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1a4,420,VSA_STATUS,8,VSA,8,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1ab,427,STEER_MOTOR_TORQUE,3,EPS,5,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1d0,464,WHEEL_SPEEDS,8,VSA,5,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1ea,490,VEHICLE_DYNAMICS,8,VSA,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x305,773,SEATBELT_STATUS,7,BDY,9,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x309,777,CAR_SPEED,8,PCM,8,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x30c,780,ACC_HUD,8,ADAS,25,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x324,804,CRUISE,8,PCM,8,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x374,884,STALK_STATUS,8,XXX,8,BODY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x37b,891,STALK_STATUS_2,8,XXX,6,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x405,1029,DOORS_STATUS,8,BDY,7,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x94,148,KINEMATICS,8,XXX,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0xe4,228,STEERING_CONTROL,5,EON,7,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0xe5,229,BOSCH_SUPPLEMENTAL_1,8,XXX,6,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0xe8,232,BRAKE_HOLD,7,XXX,5,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x18f,399,STEER_STATUS,7,EPS,7,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1c2,450,EPB_STATUS,8,EPB,4,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x221,545,XXX_16,6,SCM,4,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x240,576,LEFT_LANE_LINE_1,8,CAM,7,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x241,577,LEFT_LANE_LINE_2,8,CAM,8,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x243,579,RIGHT_LANE_LINE_1,8,CAM,7,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x244,580,RIGHT_LANE_LINE_2,8,CAM,8,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x246,582,ADJACENT_LEFT_LANE_LINE_1,8,CAM,7,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x247,583,ADJACENT_LEFT_LANE_LINE_2,8,CAM,8,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x249,585,ADJACENT_RIGHT_LANE_LINE_1,8,CAM,7,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x24a,586,ADJACENT_RIGHT_LANE_LINE_2,8,CAM,8,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x255,597,ROUGH_WHEEL_SPEED,8,VSA,9,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x296,662,SCM_BUTTONS,4,SCM,4,BODY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x326,806,SCM_FEEDBACK,8,SCM,7,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x35e,862,CAMERA_MESSAGES,8,CAM,6,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x39f,927,RADAR_HUD,8,RADAR,15,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x000033DA,13274,LKAS_HUD_A,5,ADAS,19,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x000033DB,13275,LKAS_HUD_B,8,ADAS,19,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1df,479,ACC_CONTROL,8,EON,13,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1ef,495,ACC_CONTROL_ON,8,XXX,9,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x33d,829,LKAS_HUD,5,ADAS,19,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x14a,330,STEERING_SENSORS,8,EPS,8,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1a3,419,GEARBOX,8,PCM,4,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.insight.gen3.us.ex_2019,honda_insight_ex_2019_can_generated.dbc,vehicle_can,0x1b0,432,STANDSTILL,7,VSA,4,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x200,512,GAS_COMMAND,6,EON,5,ADAS_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x201,513,GAS_SENSOR,6,INTERCEPTOR,5,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x130,304,GAS_PEDAL_2,8,PCM,5,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x13c,316,GAS_PEDAL,8,PCM,3,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x158,344,ENGINE_DATA,8,PCM,6,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x17c,380,POWERTRAIN_DATA,8,PCM,11,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x1a4,420,VSA_STATUS,8,VSA,8,DISPLAY_RELEVANT,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x1ab,427,STEER_MOTOR_TORQUE,3,EPS,5,UNKNOWN,VEHICLE_PROTOCOL_DOCUMENTED
honda.odyssey.gen5.us.exl_2018,honda_odyssey_exl_2018_generated.dbc,vehicle_can,0x1d0,464,WHEEL_SPEEDS,8,VSA,5,POWERTRAIN_ONLY,VEHICLE_PROTOCOL_DOCUMENTED
